1, -1, 0.0, 12.0, -1, -1, 1.0, -1, 1.0
1, -1, 0.0, 0.0, -1, -1, 1.0, -1, 1.0
2, -1, 2.0, 12.0, -1, -1, 1.0, -1, 1.0
2, -1, 2.0, 0.0, -1, -1, 1.0, -1, 1.0
3, -1, 4.0, 12.0, -1, -1, 1.0, -1, 1.0
3, -1, 4.0, 0.0, -1, -1, 1.0, -1, 1.0
4, -1, 6.0, 10.0, -1, -1, 1.0, -1, 1.0
4, -1, 6.0, 2.0, -1, -1, 1.0, -1, 1.0
5, -1, 8.0, 8.0, -1, -1, 1.0, -1, 1.0
5, -1, 8.0, 4.0, -1, -1, 1.0, -1, 1.0
6, -1, 10.0, 6.0, -1, -1, 1.0, -1, 1.0
6, -1, 10.0, 6.0, -1, -1, 1.0, -1, 1.0
7, -1, 12.0, 6.0, -1, -1, 1.0, -1, 1.0
7, -1, 12.0, 6.0, -1, -1, 1.0, -1, 1.0
8, -1, 14.0, 6.0, -1, -1, 1.0, -1, 1.0
8, -1, 14.0, 6.0, -1, -1, 1.0, -1, 1.0
9, -1, 16.0, 6.0, -1, -1, 1.0, -1, 1.0
9, -1, 16.0, 6.0, -1, -1, 1.0, -1, 1.0
10, -1, 18.0, 4.0, -1, -1, 1.0, -1, 1.0
10, -1, 18.0, 8.0, -1, -1, 1.0, -1, 1.0
11, -1, 20.0, 2.0, -1, -1, 1.0, -1, 1.0
11, -1, 20.0, 10.0, -1, -1, 1.0, -1, 1.0
12, -1, 22.0, 0.0, -1, -1, 1.0, -1, 1.0
12, -1, 22.0, 12.0, -1, -1, 1.0, -1, 1.0
13, -1, 24.0, 0.0, -1, -1, 1.0, -1, 1.0
13, -1, 24.0, 12.0, -1, -1, 1.0, -1, 1.0
14, -1, 26.0, 0.0, -1, -1, 1.0, -1, 1.0
14, -1, 26.0, 12.0, -1, -1, 1.0, -1, 1.0
15, -1, 28.0, 0.0, -1, -1, 1.0, -1, 1.0
15, -1, 28.0, 12.0, -1, -1, 1.0, -1, 1.0
16, -1, 30.0, 2.0, -1, -1, 1.0, -1, 1.0
16, -1, 30.0, 10.0, -1, -1, 1.0, -1, 1.0
17, -1, 32.0, 4.0, -1, -1, 1.0, -1, 1.0
17, -1, 32.0, 8.0, -1, -1, 1.0, -1, 1.0
18, -1, 34.0, 6.0, -1, -1, 1.0, -1, 1.0
18, -1, 34.0, 6.0, -1, -1, 1.0, -1, 1.0
19, -1, 36.0, 6.0, -1, -1, 1.0, -1, 1.0
19, -1, 36.0, 6.0, -1, -1, 1.0, -1, 1.0
20, -1, 38.0, 6.0, -1, -1, 1.0, -1, 1.0
20, -1, 38.0, 6.0, -1, -1, 1.0, -1, 1.0
21, -1, 40.0, 6.0, -1, -1, 1.0, -1, 1.0
21, -1, 40.0, 6.0, -1, -1, 1.0, -1, 1.0
22, -1, 42.0, 4.0, -1, -1, 1.0, -1, 1.0
22, -1, 42.0, 8.0, -1, -1, 1.0, -1, 1.0
23, -1, 44.0, 2.0, -1, -1, 1.0, -1, 1.0
23, -1, 44.0, 10.0, -1, -1, 1.0, -1, 1.0
24, -1, 46.0, 0.0, -1, -1, 1.0, -1, 1.0
24, -1, 46.0, 12.0, -1, -1, 1.0, -1, 1.0
25, -1, 48.0, 0.0, -1, -1, 1.0, -1, 1.0
25, -1, 48.0, 12.0, -1, -1, 1.0, -1, 1.0
26, -1, 50.0, 0.0, -1, -1, 1.0, -1, 1.0
26, -1, 50.0, 12.0, -1, -1, 1.0, -1, 1.0
27, -1, 50.0, 0.0, -1, -1, 1.0, -1, 1.0
27, -1, 50.0, 12.0, -1, -1, 1.0, -1, 1.0
